1,2019000001,239.0,79.7
10,2019000010,211.0,70.3
100,2019000100,223.0,74.3
1000,2019001000,191.0,63.7
10000,2019010000,249.0,83.0
1001,2019001001,177.0,59.0
1002,2019001002,198.0,66.0
1003,2019001003,196.0,65.3
1004,2019001004,231.0,77.0
1005,2019001005,214.0,71.3
1006,2019001006,209.0,69.7
1007,2019001007,249.0,83.0
1008,2019001008,208.0,69.3
1009,2019001009,171.0,57.0
101,2019000101,152.0,50.7
1010,2019001010,225.0,75.0
1011,2019001011,214.0,71.3
1012,2019001012,194.0,64.7
1013,2019001013,168.0,56.0
1014,2019001014,156.0,52.0
1015,2019001015,208.0,69.3
1016,2019001016,220.0,73.3
1017,2019001017,167.0,55.7
1018,2019001018,212.0,70.7
1019,2019001019,214.0,71.3
102,2019000102,139.0,46.3
1020,2019001020,230.0,76.7
1021,2019001021,226.0,75.3
1022,2019001022,133.0,44.3
1023,2019001023,172.0,57.3
1024,2019001024,192.0,64.0
1025,2019001025,85.0,28.3
1026,2019001026,232.0,77.3
1027,2019001027,135.0,45.0
1028,2019001028,137.0,45.7
1029,2019001029,178.0,59.3
103,2019000103,138.0,46.0
1030,2019001030,209.0,69.7
1031,2019001031,95.0,31.7
1032,2019001032,209.0,69.7
1033,2019001033,175.0,58.3
1034,2019001034,156.0,52.0
1035,2019001035,206.0,68.7
1036,2019001036,183.0,61.0
1037,2019001037,230.0,76.7
1038,2019001038,154.0,51.3
1039,2019001039,246.0,82.0
104,2019000104,209.0,69.7
1040,2019001040,104.0,34.7
1041,2019001041,195.0,65.0
1042,2019001042,179.0,59.7
1043,2019001043,154.0,51.3
1044,2019001044,218.0,72.7
1045,2019001045,227.0,75.7
1046,2019001046,183.0,61.0
1047,2019001047,211.0,70.3
1048,2019001048,232.0,77.3
1049,2019001049,162.0,54.0
105,2019000105,233.0,77.7
1050,2019001050,235.0,78.3
1051,2019001051,255.0,85.0
1052,2019001052,219.0,73.0
1053,2019001053,204.0,68.0
1054,2019001054,231.0,77.0
1055,2019001055,194.0,64.7
1056,2019001056,208.0,69.3
1057,2019001057,171.0,57.0
1058,2019001058,198.0,66.0
1059,2019001059,244.0,81.3
106,2019000106,182.0,60.7
1060,2019001060,227.0,75.7
1061,2019001061,197.0,65.7
1062,2019001062,239.0,79.7
1063,2019001063,163.0,54.3
1064,2019001064,212.0,70.7
1065,2019001065,190.0,63.3
1066,2019001066,156.0,52.0
1067,2019001067,215.0,71.7
1068,2019001068,206.0,68.7
1069,2019001069,104.0,34.7
107,2019000107,233.0,77.7
1070,2019001070,180.0,60.0
1071,2019001071,192.0,64.0
1072,2019001072,192.0,64.0
1073,2019001073,238.0,79.3
1074,2019001074,151.0,50.3
1075,2019001075,185.0,61.7
1076,2019001076,99.0,33.0
1077,2019001077,211.0,70.3
1078,2019001078,217.0,72.3
1079,2019001079,150.0,50.0
108,2019000108,181.0,60.3
1080,2019001080,207.0,69.0
1081,2019001081,213.0,71.0
1082,2019001082,238.0,79.3
