1,语文,2019000001,85,2019-05-01 14:00:00.0
1,数学,2019000001,74,2019-05-01 08:00:00.0
1,英语,2019000001,80,2019-05-02 08:00:00.0
10,语文,2019000010,61,2019-05-01 14:00:00.0
10,数学,2019000010,84,2019-05-01 08:00:00.0
10,英语,2019000010,66,2019-05-02 08:00:00.0
100,语文,2019000100,67,2019-05-01 14:00:00.0
100,数学,2019000100,85,2019-05-01 08:00:00.0
100,英语,2019000100,71,2019-05-02 08:00:00.0
1000,语文,2019001000,60,2019-05-01 14:00:00.0
1000,数学,2019001000,68,2019-05-01 08:00:00.0
1000,英语,2019001000,63,2019-05-02 08:00:00.0
10000,语文,2019010000,79,2019-05-01 14:00:00.0
10000,数学,2019010000,96,2019-05-01 08:00:00.0
10000,英语,2019010000,74,2019-05-02 08:00:00.0
1001,语文,2019001001,23,2019-05-01 14:00:00.0
1001,数学,2019001001,79,2019-05-01 08:00:00.0
1001,英语,2019001001,75,2019-05-02 08:00:00.0
1002,语文,2019001002,74,2019-05-01 14:00:00.0
1002,数学,2019001002,63,2019-05-01 08:00:00.0
1002,英语,2019001002,61,2019-05-02 08:00:00.0
1003,语文,2019001003,68,2019-05-01 14:00:00.0
1003,数学,2019001003,71,2019-05-01 08:00:00.0
1003,英语,2019001003,57,2019-05-02 08:00:00.0
1004,语文,2019001004,64,2019-05-01 14:00:00.0
1004,数学,2019001004,77,2019-05-01 08:00:00.0
1004,英语,2019001004,90,2019-05-02 08:00:00.0
1005,语文,2019001005,66,2019-05-01 14:00:00.0
1005,数学,2019001005,70,2019-05-01 08:00:00.0
1005,英语,2019001005,78,2019-05-02 08:00:00.0
1006,语文,2019001006,60,2019-05-01 14:00:00.0
1006,数学,2019001006,78,2019-05-01 08:00:00.0
1006,英语,2019001006,71,2019-05-02 08:00:00.0
1007,语文,2019001007,85,2019-05-01 14:00:00.0
1007,数学,2019001007,77,2019-05-01 08:00:00.0
1007,英语,2019001007,87,2019-05-02 08:00:00.0
1008,语文,2019001008,68,2019-05-01 14:00:00.0
1008,数学,2019001008,76,2019-05-01 08:00:00.0
1008,英语,2019001008,64,2019-05-02 08:00:00.0
1009,语文,2019001009,82,2019-05-01 14:00:00.0
1009,数学,2019001009,45,2019-05-01 08:00:00.0
1009,英语,2019001009,44,2019-05-02 08:00:00.0
101,语文,2019000101,22,2019-05-01 14:00:00.0
101,数学,2019000101,64,2019-05-01 08:00:00.0
101,英语,2019000101,66,2019-05-02 08:00:00.0
1010,语文,2019001010,68,2019-05-01 14:00:00.0
1010,数学,2019001010,80,2019-05-01 08:00:00.0
1010,英语,2019001010,77,2019-05-02 08:00:00.0
1011,语文,2019001011,76,2019-05-01 14:00:00.0
1011,数学,2019001011,65,2019-05-01 08:00:00.0
1011,英语,2019001011,73,2019-05-02 08:00:00.0
1012,语文,2019001012,68,2019-05-01 14:00:00.0
1012,数学,2019001012,61,2019-05-01 08:00:00.0
1012,英语,2019001012,65,2019-05-02 08:00:00.0
1013,语文,2019001013,37,2019-05-01 14:00:00.0
1013,数学,2019001013,71,2019-05-01 08:00:00.0
1013,英语,2019001013,60,2019-05-02 08:00:00.0
1014,语文,2019001014,77,2019-05-01 14:00:00.0
1014,数学,2019001014,73,2019-05-01 08:00:00.0
1014,英语,2019001014,6,2019-05-02 08:00:00.0
1015,语文,2019001015,69,2019-05-01 14:00:00.0
